Day,Month,Year,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
1,1,2016,Average Price,27.22,22.74,24.07,67.78,148.49,140.04,105.9,85.44,32.39,38.99,124.28,113.35,71.26,81.75,95.94,62.56,38.72,204.36,15.19,15.05,23.26,28.74
1,1,2016,Maximum Price,40,36,45,83,180,180,135,107,45,50,175,173,101,120,142,92,55,300,20,31,31,46
1,1,2016,Minimum Price,19,15,19,58,120,90,76,70,26,28,72,78,47,68,77,50,26,115,6,6,11,15
1,1,2016,Modal Price,29,18,22,70,160,120,100,90,32,38,135,100,75,82,105,58,38,180,17,20,25,30
1,1,2016,Andhra Pradesh,28,26,27,72,160,163,118,90,29,39,113,109,74,,89,59,46,183,12,16,21,24
1,1,2016,Bihar,25,17.33,20,65,139.33,133.33,95.67,77.33,32,37,,106.67,55.33,84.67,121.5,61.67,34.33,230,12.67,9.33,19.33,20.67
1,1,2016,Chandigarh,28,18,22,65,145,125,100,85,32,44,122,100,72,86,100,,35,225,17,10,18,28
1,1,2016,Chhattisgarh,21,24,27,70,140,126,100,72,35,38,120,96,64,80,90,65,36,180,9,15,22,32
1,1,2016,Delhi,29,19,21,73,161,144,104,87,33,38,147,136,76,86,105,,44,201,17,13,28,41
1,1,2016,Goa,39,29,25,83,168,180,135,95,34,44,175,173,97,92,98,63,44,240,16,28,28,38
1,1,2016,Gujarat,24.75,20.5,23.5,69.25,132,144.5,105.25,77.75,29.5,46.5,108.75,87.25,58.25,75,84.5,56.75,44.25,276,16.5,12.5,21.5,24.75
1,1,2016,Haryana,26.5,17.75,21.25,64.25,159.75,128.25,96.75,82.5,31.75,45.5,122.75,100.5,73,83,97,71,38.25,180,17.75,12.75,23.25,30.5
1,1,2016,Himachal Pradesh,29.5,20,21.25,72,162,137.75,102.25,89.25,32.75,33,133,145.75,77,78.5,94,63,33,178.75,17.5,11.25,20.75,33.75
1,1,2016,Jammu and Kashmir,28,19,21.5,72.5,154,134,100,88,42,38.5,,135.5,86,109,130.5,92,38,234,18,15,25,35
1,1,2016,Jharkhand,29,22,22,72,145,145,120,78,34,38,135,128,60,82,92,65,35,280,18,14,20,20
1,1,2016,Karnataka,35,31.5,27.25,69.25,156.25,165,105,85,31,32,107,121.5,64.25,71.67,82.5,53.5,37.5,196.75,11.5,21.5,24.75,30.25
