Day,Month,Year,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal
1,1,2016,Andhra Pradesh,28,26,27,72,160
1,1,2016,Bihar,25,17.33,20,65,139.33
1,1,2016,Chandigarh,28,18,22,65,145
1,1,2016,Chhattisgarh,21,24,27,70,140
1,1,2016,Delhi,29,19,21,73,161
1,1,2016,Goa,39,29,25,83,168
1,1,2016,Gujarat,24.75,20.5,23.5,69.25,132
1,1,2016,Haryana,26.5,17.75,21.25,64.25,159.75
1,1,2016,Himachal Pradesh,29.5,20,21.25,72,162
1,1,2016,Jammu and Kashmir,28,19,21.5,72.5,154
1,1,2016,Jharkhand,29,22,22,72,145
1,1,2016,Karnataka,35,31.5,27.25,69.25,156.25
1,1,2016,Kerala,32,32.17,34.17,67.17,163.33
1,1,2016,Madhya Pradesh,25.67,17.17,20.17,63.17,135.33
1,1,2016,Maharashtra,28.5,26.5,29,69.5,146.5
1,1,2016,Odisha,24.5,21,23,64.25,133.25
1,1,2016,Puducherry,28,32,26,72,160
1,1,2016,Punjab,27.67,18,21.33,67.33,155.67
1,1,2016,Rajasthan,26.33,18.33,21.33,62.33,133
1,1,2016,Tamil Nadu,29.5,30.5,26.67,70.5,155
1,1,2016,Telangana,27.33,27.17,29,65.33,155.33
1,1,2016,Tripura,29,22.73125,26,70,149.5829167
1,1,2016,Uttar Pradesh,22.25,17.88,20.75,67.13,143.75
1,1,2016,Uttarakhand,22.5,20.75,22,70.5,140.5
1,1,2016,West Bengal,29,20,22.5,71.5,146
1,1,2017,Andhra Pradesh,31.5,29,29.5,124,100.5
1,1,2017,Bihar,27,24,27,127,90
1,1,2017,Chhattisgarh,23,24,27,140,95
1,1,2017,Delhi,30,22,25,126,104
1,1,2017,Gujarat,23.5,23.25,24.75,110.5,97.5
1,1,2017,Madhya Pradesh,23,19,21.67,132,103.33
1,1,2017,Maharashtra,32.25,28.5,31.75,126.25,97.5
1,1,2017,Odisha,24,24.46642857,27.33,127.33,79.67
1,1,2017,Puducherry,32,34,28,140,110
1,1,2017,Punjab,28,20.5,26,121.5,116.5
1,1,2017,Rajasthan,25,22,26,110,64
1,1,2017,Tamil Nadu,34.8,31.2,31,134.6,98.2
1,1,2017,Telangana,27.6,27,28.4,119.6,126.2
1,1,2017,Uttar Pradesh,22.38,20.25,23.25,132.71,95.25
1,1,2017,West Bengal,27.86,17.83,25.14,115.86,131.43
1,1,2018,Andhra Pradesh,30,27.5,30.25,77.5,66
1,1,2018,Assam,30,26,29,70,70
1,1,2018,Bihar,28.67,18,21.67,71.67,69
1,1,2018,Chandigarh,28,23,25,68,64
1,1,2018,Chhattisgarh,24.8,26.2,27.2,74.8,69.4
1,1,2018,Delhi,34,19,23,83,82
1,1,2018,Goa,42,30,28,90,70
1,1,2018,Gujarat,23.75,20.75,24,70,71.75
1,1,2018,Haryana,31,21,25.25,70.25,74.75
1,1,2018,Himachal Pradesh,31,24.14173913,23.75,67.5,72
1,1,2018,Jammu and Kashmir,30.5,21.5,24.5,86,85.5
1,1,2018,Jharkhand,34,24,25,75,70
1,1,2018,Karnataka,48,33,32,109,88
1,1,2018,Kerala,40.67,35.33,37.5,80.83,72.5
1,1,2018,Madhya Pradesh,24.33,18.83,22.17,71.83,67.83
1,1,2018,Maharashtra,34.5,25.5,30.25,74.75,68.25
1,1,2018,Odisha,25.5,24.14173913,24.25,61.5,63.75
1,1,2018,Puducherry,32,34,28,76,76
1,1,2018,Punjab,31.5,19,23.5,78.5,83
1,1,2018,Rajasthan,28.5,18,22,63,59.5
1,1,2018,Tamil Nadu,37,30.67,30,72.33,71.67
1,1,2018,Telangana,27.33,26.83,28.5,94.67,93.33
1,1,2018,Tripura,31,24.14173913,31,78,74.0376
1,1,2018,Uttar Pradesh,24.25,18.25,21.38,67.63,66.13
1,1,2018,Uttarakhand,23.25,21.5,23.5,77.25,91.75
1,1,2018,West Bengal,28.67,17.4,23.5,72.83,84.83
1,1,2019,Andaman and Nicobar,38,36,52,80,80
1,1,2019,Andhra Pradesh,32,31,31,72.25,67.75
1,1,2019,Assam,30,30,32,65,70
1,1,2019,Bihar,30.33,21.5,25.67,58.67,70.33
1,1,2019,Chhattisgarh,25.8,26.4,27.2,64.4,71.6
1,1,2019,Delhi,36,24,27,76,84
1,1,2019,Goa,42,31,29,85,70
1,1,2019,Gujarat,22.5,20.75,22,57.25,67.5
1,1,2019,Haryana,29.25,20.25,24,60,73.75
1,1,2019,Himachal Pradesh,30,26.67956522,24.67,63.33,71.67
1,1,2019,Jammu and Kashmir,38,22,27,66,80
1,1,2019,Jharkhand,35,28,26,70,74
1,1,2019,Karnataka,44.25,33.25,34.75,69.5,70
1,1,2019,Kerala,35,40.5,40.5,72.33,75
1,1,2019,Madhya Pradesh,26.5,20.67,23.33,57.5,66.83
1,1,2019,Maharashtra,36,29,31.25,71.5,71.5
1,1,2019,Odisha,27.86,30.43,27.71,65.14,72.86
1,1,2019,Puducherry,32,35,32,75,85
1,1,2019,Punjab,30.67,19.67,22.67,72.33,82
1,1,2019,Rajasthan,27,21,23.5,56,66
1,1,2019,Tamil Nadu,33.6,33.6,35.4,72.2,76
1,1,2019,Tripura,31,26.67956522,29,67,73.44708333
1,1,2019,Uttar Pradesh,27.43,20.71,23.71,62.57,70.86
1,1,2019,Uttarakhand,24,21.5,24.75,67.25,72.75
1,1,2019,West Bengal,29.17,17.4,24.33,71.17,73.33
1,1,2020,Andaman and Nicobar,38.5,40,53,80.5,98.5
1,1,2020,Andhra Pradesh,38.75,33,32.75,74,85.5
1,1,2020,Arunachal pradesh,32,36,30,75,95
1,1,2020,Assam,30,26,32,65,80
1,1,2020,Bihar,32.25,22,26.5,61,84.75
1,1,2020,Chandigarh,28,25,27,58,80
1,1,2020,Chhattisgarh,25.4,27.4,30.6,62.2,87
1,1,2020,Delhi,34,25,27,73,97
1,1,2020,Goa,42,34,32,75,95
1,1,2020,Gujarat,24.75,23,24.5,62.75,74.75
1,1,2020,Haryana,33,20.75,24.25,61,78
1,1,2020,Himachal Pradesh,32.25,28.75111111,27,66.5,91.25
1,1,2020,Jammu and Kashmir,32.5,27,29.5,68,100
1,1,2020,Jharkhand,35,30,28,70,95
1,1,2020,Karnataka,44.5,33.75,36,68.5,93
1,1,2020,Kerala,40.67,35.33,36.67,76.67,99.5
1,1,2020,Madhya Pradesh,27.5,22.67,25.17,62.17,88.67
1,1,2020,Maharashtra,39.25,32.5,31.75,68,87
1,1,2020,Meghalaya,27,32,33,70,80
1,1,2020,Odisha,26.83,33,28.83,62.33,85
1,1,2020,Puducherry,34,38,32,70,105
1,1,2020,Punjab,32,22.33,25,64,86.67
1,1,2020,Rajasthan,36,23.67,27.33,60,90
1,1,2020,Tamil Nadu,46.17,35,35.5,67.5,94.83
1,1,2020,Telangana,36.67,30,32.67,61.17,83.67
1,1,2020,Tripura,32,28.75111111,29,67,89.22214286
1,1,2020,Uttar Pradesh,27.88,22.63,25.25,63.88,89.63
1,1,2020,Uttarakhand,27.25,24.25,27.25,61.75,93.5
1,1,2020,West Bengal,33.5,22,27.25,68.25,80
1,1,2021,Andaman and Nicobar,39.5,42,55.5,84,112
1,1,2021,Andhra Pradesh,43.5,32.25,37.75,71,102.25
1,1,2021,Arunachal pradesh,40,25,30,80,120
1,1,2021,Assam,32,25,30,73,101
1,1,2021,Bihar,31.5,19,23,67.67,97.5
1,1,2021,Chandigarh,32,23,25,68,100
1,1,2021,Chhattisgarh,26,28.8,31.4,69,100
1,1,2021,Delhi,33,20,24,74,114
1,1,2021,Goa,45,33,27,80,101
1,1,2021,Gujarat,26.75,24.25,25.75,67.25,94.5
1,1,2021,Haryana,30.25,22.5,25.5,70,102.5
1,1,2021,Himachal Pradesh,31.25,27.75740741,24.75,74.5,106.25
