Date,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
2016-01-01,29.5,30.5,26.67,70.5,155.0,160.0,105.75,90.0,32.75,35.75,127.5,137.0,79.25,88.0,92.25,59.25,43.0,215.0,16.25,20.5,23.25,29.5
2016-01-02,29.6,31.4,27.5,71.4,154.6,161.2,108.2,92.5,33.0,36.0,127.8,137.0,82.0,88.0,92.0,59.0,45.0,216.0,16.6,20.4,23.6,32.0
2016-01-03,29.6,31.4,27.5,71.4,154.0,161.2,108.2,92.5,33.0,36.0,127.8,137.0,82.0,88.0,92.0,59.0,45.0,216.0,16.6,20.4,23.6,35.0
2016-01-04,29.6,31.4,27.5,71.4,151.6,160.2,107.2,90.5,34.4,36.0,127.8,137.0,82.0,88.0,92.0,59.0,45.0,216.0,16.6,21.4,23.0,41.4
2016-01-05,29.5,31.75,27.5,71.75,151.5,161.5,107.5,90.5,34.25,36.25,128.75,137.0,80.25,88.0,91.75,58.75,45.75,215.0,17.0,21.25,22.75,41.0
2016-01-06,29.4,31.2,27.5,70.6,149.0,158.6,106.2,88.0,34.4,36.0,127.6,137.0,82.0,88.0,92.0,59.0,44.6,216.0,16.6,21.0,23.8,44.6
2016-01-07,29.4,31.2,27.5,70.6,148.4,157.6,105.6,88.0,34.6,36.0,127.4,137.0,82.0,88.0,92.0,59.0,44.6,216.0,16.6,21.6,23.2,45.8
2016-01-08,29.4,31.2,27.5,70.2,148.0,156.6,105.6,88.0,34.8,36.0,127.4,137.0,82.0,88.0,92.0,59.0,44.6,216.0,16.6,20.4,23.0,45.0
2016-01-09,29.25,31.5,27.5,70.25,147.5,157.0,105.5,88.0,35.5,36.25,128.25,137.0,80.25,88.0,91.75,58.75,45.5,215.0,17.5,20.75,23.75,48.25
2016-01-10,29.4,31.2,27.5,70.2,147.0,156.6,105.6,88.0,35.4,36.0,127.8,137.0,82.0,88.0,92.2,59.0,44.8,216.0,17.0,21.8,24.4,49.0
