Day,Month,Year,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
1,1,2016,29.5,30.5,26.67,70.5,155,160,105.75,90,32.75,35.75,127.5,137,79.25,88,92.25,59.25,43,215,16.25,20.5,23.25,29.5
2,1,2016,29.6,31.4,27.5,71.4,154.6,161.2,108.2,92.5,33,36,127.8,137,82,88,92,59,45,216,16.6,20.4,23.6,32
3,1,2016,29.6,31.4,27.5,71.4,154,161.2,108.2,92.5,33,36,127.8,137,82,88,92,59,45,216,16.6,20.4,23.6,35
4,1,2016,29.6,31.4,27.5,71.4,151.6,160.2,107.2,90.5,34.4,36,127.8,137,82,88,92,59,45,216,16.6,21.4,23,41.4
5,1,2016,29.5,31.75,27.5,71.75,151.5,161.5,107.5,90.5,34.25,36.25,128.75,137,80.25,88,91.75,58.75,45.75,215,17,21.25,22.75,41
6,1,2016,29.4,31.2,27.5,70.6,149,158.6,106.2,88,34.4,36,127.6,137,82,88,92,59,44.6,216,16.6,21,23.8,44.6
7,1,2016,29.4,31.2,27.5,70.6,148.4,157.6,105.6,88,34.6,36,127.4,137,82,88,92,59,44.6,216,16.6,21.6,23.2,45.8
8,1,2016,29.4,31.2,27.5,70.2,148,156.6,105.6,88,34.8,36,127.4,137,82,88,92,59,44.6,216,16.6,20.4,23,45
9,1,2016,29.25,31.5,27.5,70.25,147.5,157,105.5,88,35.5,36.25,128.25,137,80.25,88,91.75,58.75,45.5,215,17.5,20.75,23.75,48.25
10,1,2016,29.4,31.2,27.5,70.2,147,156.6,105.6,88,35.4,36,127.8,137,82,88,92.2,59,44.8,216,17,21.8,24.4,49
11,1,2016,29.4,31.2,27.5,70.2,146,156.6,105.6,88,35.4,36,127.4,137,82,88,92,59,44.8,216,17,19.8,23.4,38.4
12,1,2016,29.4,31.2,27.75,70.6,145.2,155,105,88,35.4,36,127.4,134.5,82,88,92,59,45,216,17,20,22.8,36.4
13,1,2016,29.4,31.2,27.75,70.6,144.6,154,105,88,35.6,36,127.4,134.5,81.8,88,92,58.8,45.4,216,17,20.6,22.6,32.8
14,1,2016,29.4,31.2,27.75,70.6,144.6,154,105,88,35.6,36,127.4,134.5,81.8,88,92,58.8,45.4,216,17,21,23.8,34.4
