Day,Month,Year,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
1.0,1.0,2016.0,mean,27.8,22.73125,24.0268,69.11840000000001,149.58291666666668,140.7384,107.322,86.55,32.81,38.6496,127.19428571428571,116.95360000000001,72.10959999999999,83.51571428571428,97.1086956521739,64.4395,39.334799999999994,207.52599999999998,15.3632,15.354800000000001,23.4984,29.207200000000004
1.0,1.0,2016.0,mode,28.0,18.0,22.0,72.0,160.0,144.0,100.0,90.0,32.0,38.0,113.0,137.0,76.0,86.0,98.0,63.0,46.0,180.0,17.0,9.33,22.0,30.5
1.0,1.0,2016.0,median,28.0,20.625,22.5,69.5,150.25,137.75,105.75,86.67,32.5,38.0,122.83,112.25,72.0,83.0,94.0,62.875,38.25,201.0,16.5,14.0,23.25,29.5
1.0,1.0,2017.0,mean,27.459333333333337,24.46642857142857,26.785999999999998,125.82333333333331,100.60533333333335,104.36466666666665,76.47333333333334,76.448,40.314,39.67133333333334,137.66923076923078,109.75866666666667,77.74533333333333,87.3,94.75600000000001,71.77142857142859,42.90533333333334,201.66600000000003,15.229333333333333,13.889333333333333,13.979333333333333,13.57066666666667
1.0,1.0,2017.0,mode,23.0,24.0,27.0,140.0,97.5,90.0,70.0,80.0,41.0,39.0,112.5,108.0,70.5,84.0,107.0,77.0,43.75,150.0,17.0,13.0,15.0,10.0
1.0,1.0,2017.0,median,27.6,23.625,27.0,126.25,98.2,103.6,77.88,75.0,40.4,39.0,138.8,108.0,75.75,85.75,93.4,71.0,43.5,202.5,16.88,13.0,14.0,10.67
1.0,1.0,2018.0,mean,30.93153846153846,24.141739130434782,26.31423076923077,76.22461538461538,74.0376,77.68307692307692,73.97038461538462,63.043461538461536,41.871538461538464,41.9073076923077,131.71952380952382,109.8026923076923,81.24807692307692,89.43639999999999,95.93719999999999,74.02849999999998,45.809999999999995,210.52884615384616,15.43846153846154,15.375,42.7504,25.3668
1.0,1.0,2018.0,mode,31.0,18.0,23.5,70.0,70.0,70.0,75.0,55.0,42.0,36.0,128.0,104.25,75.0,87.0,92.0,79.0,40.0,220.0,17.0,10.0,35.5,25.0
1.0,1.0,2018.0,median,30.25,23.0,25.0,74.775,71.67,75.5,75.0,58.5,41.75,41.775,128.0,104.625,79.375,89.2,92.33,73.0,43.3,209.125,16.25,14.5,41.67,24.5
1.0,1.0,2019.0,mean,31.7344,26.67956521739131,28.817600000000002,67.8956,73.44708333333334,73.87200000000001,76.9576,63.605599999999995,38.836,43.1684,132.41,113.23279999999998,85.40639999999999,93.38818181818182,99.93291666666666,77.739,44.56,214.79080000000002,15.530399999999997,18.2684,19.1468,23.6008
1.0,1.0,2019.0,mode,38.0,31.0,32.0,72.33,70.0,70.0,83.0,60.0,36.0,42.0,110.25,132.0,82.0,99.0,100.0,93.0,40.0,240.0,18.0,24.0,20.0,15.0
1.0,1.0,2019.0,median,30.67,26.4,27.0,67.25,72.21000000000001,73.5,76.33,60.8,38.0,42.0,134.75,108.0,82.0,93.285,99.5,75.83500000000001,42.5,210.0,17.0,16.8,18.0,23.75
1.0,1.0,2020.0,mean,33.4351724137931,28.75111111111111,30.233448275862067,67.00586206896551,89.22214285714287,99.41620689655171,91.85344827586206,66.82931034482759,39.797586206896554,46.53896551724138,141.58454545454546,116.74034482758621,86.99724137931035,98.0892,107.05892857142858,87.49826086956521,46.94965517241379,224.43965517241378,16.25758620689655,27.135862068965515,94.77620689655173,28.222758620689657
1.0,1.0,2020.0,mode,32.0,33.0,32.0,70.0,80.0,110.0,95.0,70.0,40.0,41.0,120.75,113.0,75.0,93.0,100.0,80.0,60.0,220.0,19.0,28.0,100.0,40.0
1.0,1.0,2020.0,median,32.5,27.4,29.0,67.0,89.15,97.33,91.75,65.0,39.0,45.0,140.16500000000002,113.0,84.5,98.0,104.16499999999999,81.75,44.0,216.67,17.0,26.0,92.75,25.63
1.0,1.0,2021.0,mean,34.86448275862069,27.75740740740741,30.646896551724137,74.10000000000001,105.39571428571428,107.65620689655174,105.73448275862069,79.90965517241379,40.71000000000001,48.46206896551725,164.15782608695653,140.96758620689656,108.23344827586207,116.8824,135.65464285714285,109.70739130434785,48.08862068965517,248.7993103448276,17.547241379310346,30.801379310344828,38.2848275862069,32.31310344827586
1.0,1.0,2021.0,mode,32.0,25.0,25.0,80.0,101.0,131.0,110.0,76.0,39.0,46.0,153.25,140.0,110.0,137.0,140.0,116.0,44.0,220.0,20.0,20.0,40.0,30.0
1.0,1.0,2021.0,median,32.0,26.0,27.5,74.5,101.875,106.0,106.25,76.0,39.5,46.0,164.0,140.0,109.0,114.33,135.625,109.0,47.5,238.75,19.0,30.0,38.0,30.0
1.0,1.0,2022.0,mean,34.60730769230769,27.359166666666667,30.393846153846155,75.37653846153846,102.395,107.35461538461536,101.78423076923076,96.26115384615386,41.76884615384615,51.21923076923077,179.68434782608693,186.6784615384615,138.5376923076923,147.92571428571426,163.7226923076923,126.3848,48.64230769230768,275.42538461538464,19.05923076923077,21.820769230769233,35.25076923076923,45.85038461538462
