Day,Month,Year,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
1.0,1.0,2016.0,mean,2459.9959999999996,1997.238260869565,2126.0303999999996,6256.0736,13920.33,13220.3604,9816.956400000001,7886.2872,3009.98,3591.0894117647063,11778.8835,10586.115454545456,6476.229166666667,7600.370555555554,9018.27,5876.663157894736,3391.022,18347.82571428571,1319.5,1106.3091666666667,1806.67,2387.040833333333
1.0,1.0,2016.0,mode,2500.0,1650.0,2400.0,6000.0,13500.0,16000.0,9950.0,7200.0,2900.0,3700.0,10550.0,8800.0,6200.0,8034.67,8600.0,6000.0,3100.0,16000.0,1580.0,800.0,1900.0,1500.0
1.0,1.0,2016.0,median,2400.0,1800.0,1962.5,6216.67,13750.0,12800.0,9850.0,7850.0,2975.0,3616.67,11937.5,10344.689999999999,6485.25,7637.5,8810.67,5691.25,3200.0,18666.67,1433.33,909.375,1787.5,2350.0
1.0,1.0,2017.0,mean,2480.9846666666663,2192.737857142857,2358.733333333333,11598.822000000002,9107.616,9366.120666666666,6750.2733333333335,6692.104666666667,3811.4693333333335,3685.8333333333335,12945.993846153844,10200.297857142856,7266.610000000001,8192.775,8899.15,6755.254615384615,3730.698,17757.010769230772,1330.0426666666667,995.1366666666667,955.7826666666666,893.5506666666666
1.0,1.0,2017.0,mode,2950.0,2700.0,2400.0,12200.0,9850.0,8500.0,6000.0,7400.0,3800.0,3700.0,14286.0,11050.0,6800.0,8400.0,8100.0,6350.0,3200.0,12000.0,1450.0,1000.0,1200.0,800.0
1.0,1.0,2017.0,median,2500.0,2137.5,2400.0,11689.0,8500.0,8978.0,6375.0,6500.0,3800.0,3700.0,12760.0,10026.165,7000.0,8223.25,8654.335,6625.0,3800.0,17166.67,1450.0,900.0,1000.0,750.0
1.0,1.0,2018.0,mean,2719.925,2124.317916666667,2291.122307692308,6681.228800000001,6571.6532,6814.724615384615,6600.111923076924,5415.093076923076,3871.458461538461,3856.970625,12277.5995,10019.759166666667,7375.698076923077,8233.08652173913,8837.153333333334,6884.503809523811,3945.3260000000005,18538.865454545452,1295.4719230769228,1041.2265384615384,3489.750769230769,1888.7673076923077
1.0,1.0,2018.0,mode,2600.0,2537.5,2450.0,6800.0,6000.0,7287.5,7000.0,5000.0,3950.0,3950.0,10275.0,10200.0,6750.0,8200.0,8150.0,6800.0,3100.0,16000.0,1500.0,600.0,3800.0,750.0
1.0,1.0,2018.0,median,2600.0,2000.0,2206.25,6500.0,6433.33,6633.335,6527.29,5100.0,3900.0,3885.0,12484.0,9782.395,7205.965,8100.0,8831.165,6865.0,3828.57,18050.0,1449.96,829.165,3564.585,1472.5
1.0,1.0,2019.0,mean,2780.6659999999997,2388.066956521739,2518.3435999999997,6059.534799999999,6675.419166666667,6509.173749999999,6960.1124,5500.7696,3524.54,3996.951176470588,12135.16388888889,10392.585652173913,7642.248,8553.53619047619,9371.219130434783,7168.261,3825.564,18786.543333333335,1299.1979999999999,1335.576,1388.6668,1703.8220000000001
1.0,1.0,2019.0,mode,2800.0,3400.0,2290.0,6000.0,6500.0,6500.0,7200.0,5100.0,3600.0,4000.0,10700.0,12527.0,10769.0,8200.0,9500.0,8351.0,5900.0,18500.0,1620.0,1000.0,1200.0,3000.0
1.0,1.0,2019.0,median,2675.0,2430.0,2350.0,6000.0,6662.5,6407.855,6860.0,5250.0,3500.0,4000.0,12001.0,10176.0,7289.0,8531.13,9500.0,7197.145,3783.33,18833.33,1433.25,1205.0,1240.0,1612.5
1.0,1.0,2020.0,mean,2998.4531034482757,2563.175185185185,2674.556551724138,5955.788928571428,8199.728148148148,9038.764137931035,8481.704137931034,5962.090344827587,3651.922857142857,4213.6714999999995,13047.186666666668,10749.363846153845,7976.8489285714295,9173.975217391304,9965.878,8258.987391304347,3990.3885714285716,20159.552083333332,1344.17,2151.1067857142857,8024.376551724137,2137.315172413793
1.0,1.0,2020.0,mode,2600.0,2200.0,2600.0,6200.0,7500.0,10000.0,8500.0,5800.0,3800.0,4000.0,11761.75,13296.0,10945.0,8550.0,9500.0,10219.0,4400.0,30750.0,700.0,3222.0,7000.0,2525.0
1.0,1.0,2020.0,median,2900.0,2440.0,2520.0,5856.67,8250.0,9000.0,8575.0,5800.0,3612.5,4150.0,12576.33,10712.5,7872.29,9075.0,9746.33,7750.0,3830.335,19425.0,1406.67,1931.25,8025.0,1866.67
1.0,1.0,2021.0,mean,2971.223043478261,2386.736666666666,2584.102608695652,6445.546521739132,9362.57,9727.324782608694,9569.060869565217,7067.606818181817,3633.796956521739,4490.753529411764,15122.717777777776,13079.258636363636,10250.379545454545,11118.508235294119,12816.728571428572,10602.172222222223,4004.088260869565,22032.23363636364,1583.376956521739,2353.9121739130437,3041.0443478260872,2365.9747826086955
1.0,1.0,2021.0,mode,2750.0,1800.0,2200.0,6000.0,9200.0,8800.0,9600.0,6800.0,3600.0,4000.0,15000.0,15768.5,14065.0,12441.5,11500.0,13296.5,3200.0,20000.0,1800.0,1500.0,3000.0,1500.0
1.0,1.0,2021.0,median,2800.0,2200.0,2340.0,6400.0,9241.564999999999,9600.0,9600.0,6800.0,3600.0,4400.0,14974.57,12869.125,10183.2,11000.0,13060.0,10798.0,4095.75,22000.0,1750.0,2000.0,3000.0,2050.0
1.0,1.0,2022.0,mean,2958.472307692308,2389.9251999999997,2549.0503846153847,6640.471153846154,9181.479230769231,9605.287307692308,9103.340769230768,8707.656538461539,3783.9907692307697,4791.867916666667,16928.667391304345,17544.4768,12896.982692307694,13768.482857142857,15520.74153846154,12104.4275,4045.9273076923077,24299.002692307695,1546.3626923076922,1634.223076923077,2831.108846153846,3623.824
1.0,1.0,2022.0,mode,3200.0,2000.0,2200.0,6600.0,8500.0,9200.0,9150.0,8600.0,3800.0,5000.0,17500.0,16550.0,11550.0,10500.0,16500.0,12400.0,4000.0,19000.0,1800.0,1800.0,2000.0,3500.0
1.0,1.0,2022.0,median,2839.065,2235.0,2495.0,6511.0,9119.415,9628.855,9084.814999999999,8710.0,3780.375,4745.0,17150.0,17475.0,13068.225,13778.0,15542.5,12201.165,4000.0,25093.75,1643.335,1568.75,2788.96,3775.0
